ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
341	19:31:26:972	Server	 		gotwood4sheep rolled a 6 and a 4.	 	 
342	19:31:26:973	Server	 		gotwood4sheep gets 2 wood. william gets 1 sheep. tomas.kostan gets 2 sheep.	 	 
343	19:31:44:469	Server	 		gotwood4sheep traded 3 wood for 1 clay from a port.	 	 
344	19:31:50:403	Server	 		gotwood4sheep built a road.	 	 
345	19:31:54:423	Server	 		william rolled a 6 and a 5.	 	 
346	19:31:54:423	Server	 		william gets 3 clay, 1 sheep. tomas.kostan gets 1 sheep.	 	 
347	19:31:59:687	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=1	roads=[105,154; 154,138; 138,139; 139,171; 171,188; 188,140]; cities=[105,154; 154,156]	so much clay!	 	 
348	19:32:27:558	Server	 		william built a road.	 	 
349	19:32:30:447	Server	 		william built a road.	 	 
350	19:32:39:676	Server	 		tomas.kostan rolled a 5 and a 1.	 	 
351	19:32:39:677	Server	 		gotwood4sheep gets 2 wood. william gets 2 wood.	 	 
352	19:32:50:306	tomas.kostan	clay=0; ore=0; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,152; 152,169; 169,101; 101,135; 135,134]; settlements=[116,152; 152,186; 186,150]	still no ore?	 	 
353	19:32:54:209	william	clay=1; ore=0; sheep=4; wheat=0; wood=2; unknown=0; knights=0; dev-cards=2	roads=[67,70; 70,54; 54,86; 86,102; 102,37; 37,36; 36,52]; settlements=[67,54; 54,118]	no	 	 
354	19:33:05:156	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[105,154; 154,138; 138,139; 139,171; 171,188; 188,140]; cities=[105,154; 154,156]	only for clay or 2 wheat, sorry	 	 
355	19:33:17:620	tomas.kostan	clay=0; ore=0; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,152; 152,169; 169,101; 101,135; 135,134]; settlements=[116,152; 152,186; 186,150]	sheep perhaps?	 	 
356	19:33:22:414	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[105,154; 154,138; 138,139; 139,171; 171,188; 188,140]; cities=[105,154; 154,156]	no sheep, sorry!	 	 
357	19:33:23:831	tomas.kostan	clay=0; ore=0; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,152; 152,169; 169,101; 101,135; 135,134]; settlements=[116,152; 152,186; 186,150]	2 sheep? :)	 	 
358	19:33:29:244	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[105,154; 154,138; 138,139; 139,171; 171,188; 188,140]; cities=[105,154; 154,156]	still not enticing	 	 
359	19:33:33:082	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[105,154; 154,138; 138,139; 139,171; 171,188; 188,140]; cities=[105,154; 154,156]	I have fed well on sheep	 	 
360	19:33:37:465	tomas.kostan	clay=0; ore=0; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,152; 152,169; 169,101; 101,135; 135,134]; settlements=[116,152; 152,186; 186,150]	:D	 	 
361	19:33:40:163	Server	 		gotwood4sheep rolled a 4 and a 4.	 	 
362	19:33:40:164	Server	 		gotwood4sheep gets 4 wheat. william gets 1 clay. tomas.kostan gets 1 clay.	 	 
